COD_CURSO;COD_DISCIPLINA;COD_TURMA;HR_INICIO;NOME_DISCIPLINA;VAGAS_OFERECIDAS;VAGAS_OCUPADAS;DIA_SEMANA;HR_FIM;TIPO_AULA;NUM_SALA
GAUT;GELE7061;654034;12:40:00;CIRCUITOS ELÉTRICOS II;30;16;QUI;15:20:00;Teórica;H-104
GELT;GELE7061;342322;12:40:00;CIRCUITOS ELÉTRICOS II;25;22;SEX;14:25:00;Prática;SALA E-211
GELT;GELE7061;342322;12:40:00;CIRCUITOS ELÉTRICOS II;25;22;QUI;15:20:00;Teórica;H-104
GEL;GELE7061;242321;12:40:00;CIRCUITOS ELÉTRICOS II;25;17;SEX;14:25:00;Prática;SALA E-211
GEL;GELE7061;242321;12:40:00;CIRCUITOS ELÉTRICOS II;25;17;QUI;15:20:00;Teórica;H-104
GTEL;GELE7061;540315;12:40:00;CIRCUITOS ELÉTRICOS II;50;8;QUI;15:20:00;Teórica;H-104
GTEL;GELE7061;540315;12:40:00;CIRCUITOS ELÉTRICOS II;50;8;SEX;14:25:00;Prática;SALA E-211
GELT;GELE7183;372555;13:35:00;CIRCUITOS INTEGRADOS;25;2;SEX;15:20:00;Teórica;SALA E-214
GELT;GELE7183;372555;15:35:00;CIRCUITOS INTEGRADOS;25;2;SEX;17:20:00;Prática;SALA E-214
BCC;GCC1730;901730;14:30:00;COMPILADORES;25;6;QUA;18:15:00;Teórica;PAV1SALA03
WEB;GTSI1410;601410;14:30:00;COMPILADORES;25;5;QUA;18:15:00;Teórica;PAV1SALA03
GMEC;GMEC7615;100003;18:20:00;COMPÓSITOS E ADESIVOS;30;30;QUA;21:50:00;Teórica;D-304
GAUT;GEXT7401;651015;08:50:00;COMPUTAÇÃO;40;29;QUI;12:35:00;Prática;PAV01LAB03
GAMB;GEAMB1105;162007;;COMPUTAÇÃO;50;0;;;;
GEL;GEXT7401;212122;08:50:00;COMPUTAÇÃO;14;3;QUI;10:45:00;Teórica;PAVILHÃO 1
GEL;GEXT7401;212122;14:30:00;COMPUTAÇÃO;14;3;TER;16:25:00;Teórica;PAV01LAB03
GEL;GEXT7401;212121;12:40:00;COMPUTAÇÃO;13;12;QUI;14:25:00;Teórica;PAV01LAB03
GEL;GEXT7401;212121;11:45:00;COMPUTAÇÃO;13;12;TER;13:30:00;Teórica;PAV01LAB03
GCIV;GEXT7401;700009;13:35:00;COMPUTAÇÃO;40;38;SEG;17:20:00;Teórica;PAV01LAB03
GELT;GEXT7401;312121;14:30:00;COMPUTAÇÃO;13;5;TER;16:25:00;Teórica;PAV01LAB03
GELT;GEXT7401;312121;08:50:00;COMPUTAÇÃO;13;5;QUI;10:45:00;Teórica;PAVILHÃO 1
GELT;GEXT7401;312122;11:45:00;COMPUTAÇÃO;13;10;TER;13:30:00;Teórica;PAV01LAB03
GELT;GEXT7401;312122;12:40:00;COMPUTAÇÃO;13;10;QUI;14:25:00;Teórica;PAV01LAB03
GMEC;GEXT7401;110230;08:50:00;COMPUTAÇÃO;40;39;TER;10:45:00;Teórica;PAV1SALA01
GMEC;GEXT7401;110230;10:50:00;COMPUTAÇÃO;40;39;QUI;12:35:00;Teórica;LAB-1
GPROD;GEXT7401;410054;10:50:00;COMPUTAÇÃO;40;34;TER;12:35:00;Teórica;LAB-1
GPROD;GEXT7401;410054;07:00:00;COMPUTAÇÃO;40;34;QUI;08:45:00;Teórica;LAB-1
GTEL;GEXT7401;510114;11:45:00;COMPUTAÇÃO;14;7;TER;13:30:00;Teórica;PAV01LAB03
GTEL;GEXT7401;510114;12:40:00;COMPUTAÇÃO;14;7;QUI;14:25:00;Teórica;PAV01LAB03
GTEL;GEXT7401;510115;14:30:00;COMPUTAÇÃO;13;6;TER;16:25:00;Teórica;PAV01LAB03
GTEL;GEXT7401;510115;08:50:00;COMPUTAÇÃO;13;6;QUI;10:45:00;Teórica;PAVILHÃO 1
GCIV;GCIV8502;740034;16:30:00;COMPUTAÇÃO GRÁFICA;20;20;SEX;19:10:00;Prática;D.LABCIVIL
GCIV;GCIV8502;740030;14:30:00;COMPUTAÇÃO GRÁFICA;20;20;TER;17:20:00;Prática;D.LABCIVIL
BCC;GCC1731;971731;18:20:00;COMPUTAÇÃO GRÁFICA;25;4;TER;21:50:00;Teórica;PAV1LAB4
WEB;GTSI1408;601408;18:20:00;COMPUTAÇÃO GRÁFICA;25;2;TER;21:40:00;Teórica;PAV1LAB4
GTEL;GELE7327;500011;15:35:00;COMUNICAÇÕES MÓVEIS;30;11;TER;18:15:00;Teórica;L-32
GTEL;GELE7208;500012;17:25:00;COMUNICAÇÕES ÓTICAS;30;10;SEX;19:10:00;Prática;E202
GTEL;GELE7208;500012;19:10:00;COMUNICAÇÕES ÓTICAS;30;10;SEX;20:50:00;Teórica;E-305
